URL,,Type,Status Code,Title 1,Meta Description 1,H1-1,L3M Clicks,Prev 3M Clicks,Δ Clicks %,L3M Impressions,Prev 3M Impressions,Δ Impr %,L3M New Users,Prev 3M New Users,Δ Users %,L3M Key Events,Prev 3M Key Events,Δ Conv %
https://www.bankfivenine.com/resources/learn-something-new/demo-videos/,/resources/learn-something-new/demo-videos,Supporting,200,Personal Banking Demos & Tutorials | Bank Five Nine,Explore Bank Five Nine Demo Videos to see how our products and services work and learn to manage banking tasks securely and efficiently.,Personal Banking Demos & Tutorials,0,1,-100%,281,252,12%,12,8,33.33%,0,0,N/A
https://www.bankfivenine.com/about-us/,/about-us,Supporting,200,About Us | Bank Five Nine,"Learn about Bank Five Nine, a community bank serving Wisconsin with personalized banking services, local commitment, and trusted expertise.",Community Banking You Can Trust,59,36,64%,23042,13799,67%,245,220,10.20%,10,3,70.00%
https://www.bankfivenine.com/about-us/careers/,/about-us/careers,Supporting,200,Banking Jobs | Bank Five Nine Careers,"Explore rewarding banking careers at Bank Five Nine. Discover open positions, career paths, and opportunities to grow with a community-focused bank.",Careers,288,312,-8%,6607,8225,-20%,706,732,-3.68%,0,0,N/A
https://www.bankfivenine.com/about-us/charitable/,/about-us/charitable,Supporting,200,Charitable Giving | Bank Five Nine,Learn about Bank Five Nine's charitable efforts. Discover how we support and give back to our communities through various initiatives and contributions.,Charitable Giving,66,39,69%,941,1069,-12%,95,90,5.26%,0,0,N/A
https://www.bankfivenine.com/about-us/community/,/about-us/community,Supporting,200,Community Involvement | Bank Five Nine,We're all about the community. Check out our donation pictures and charitable giving program.,Community Involvement,2,5,-60%,508,950,-47%,42,43,-2.38%,0,0,N/A
https://www.bankfivenine.com/about-us/letter-from-the-president/,/about-us/letter-from-the-president,Supporting,200,Corporate President’s Message | Bank Five Nine,"Read the letter from Bank Five Nine's President. Learn about our mission, vision, and commitment to our customers and community.",Corporate President’s Message,51,45,13%,1871,1065,76%,76,82,-7.89%,0,0,N/A
https://www.bankfivenine.com/resources/learn-something-new/,/resources/learn-something-new,Supporting,200,Learn About Banking | Bank Five Nine,"Learn something new about banking with Bank Five Nine's Financial Education Center. Here you'll find financial basics, demo videos, & blogs.",Learn More About Banking,0,1,-100%,1268,996,27%,74,70,5.41%,0,0,N/A
https://www.bankfivenine.com/about-us/contact-bank-five-nine/,/about-us/contact-bank-five-nine,Supporting,200,Contact Us | Bank Five Nine,Need to get in touch or have a question? Contact us today! We'll get you the assistance you need.,Contact Bank Five Nine,467,556,-16%,62502,67996,-8%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/about-us/history/,/about-us/history,Supporting,200,Our History | Bank Five Nine,"Founded in 1859, Bank Five Nine has a rich history! Learn how our commitment to community banking has evolved, delivering exceptional service and trust.",Our History,75,80,-6%,15252,11365,34%,92,111,-20.65%,1,0,100.00%
https://www.bankfivenine.com/banking-calculators/,/banking-calculators,Supporting,200,Financial Calculators - Bank Five Nine,Use our financial calculators to help plan your financial future! Contact Bank Five Nine to learn more about our savings and loan opportunities!,Banking Calculators,5,6,-17%,368,309,19%,75,60,20.00%,0,0,N/A
https://www.bankfivenine.com/open-new-account/,/open-new-account,Supporting,200,Open Bank Account Online | Bank Five Nine,"New & current customers can open a bank account online, including checking, savings, or money market account. Open a bank account online with Bank Five Nine.",Open A New Account,24,34,-29%,9534,9834,-3%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
