URL,,Type,L1M Clicks,P1M  Clicks,Δ Clicks %,L1M Impressions,P1M Impressions,Δ Impr %,L1M New Users,Prev 1M New Users,Δ Users %,L1M Key Events,P1M Key Events,Δ Conv %
https://www.bankfivenine.com/locations/branch/grafton/,/locations/branch/grafton,Location,17,25,-32%,749,1213,-38%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/hartland/,/locations/branch/hartland,Location,19,32,-41%,1151,2082,-45%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/hartford/,/locations/branch/hartford,Location,25,30,-17%,1305,2369,-45%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/milwaukee/,/locations/branch/milwaukee,Location,18,19,-5%,3672,5235,-30%,31,39,-21%,2,2,0%
https://www.bankfivenine.com/locations/branch/menomonee-falls/,/locations/branch/menomonee-falls,Location,16,14,14%,788,1194,-34%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/brookfield-capitol-dr/,/locations/branch/brookfield-capitol-dr,Location,21,24,-13%,1684,2551,-34%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/glendale/,/locations/branch/glendale,Location,7,10,-30%,926,1101,-16%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/brookfield-north-ave/,/locations/branch/brookfield-north-ave,Location,16,12,33%,1320,1789,-26%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/germantown/,/locations/branch/germantown,Location,17,30,-43%,1072,1899,-44%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/mequon/,/locations/branch/mequon,Location,11,6,83%,725,929,-22%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/menomonee-falls-loan-office/,/locations/branch/menomonee-falls-loan-office,Location,5,1,400%,393,735,-47%,3,3,0%,0,0,N/A
https://www.bankfivenine.com/locations/branch/burlington/,/locations/branch/burlington,Location,5,2,150%,562,525,7%,6,3,100%,1,0,N/A
https://www.bankfivenine.com/locations/branch/rothschild/,/locations/branch/rothschild,Location,5,4,25%,975,1059,-8%,8,1,700%,1,1,0%
https://www.bankfivenine.com/locations/branch/oconomowoc/,/locations/branch/oconomowoc,Location,202,256,-21%,11256,17462,-36%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/west-bend/,/locations/branch/west-bend,Location,53,58,-9%,2416,3218,-25%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/appleton/,/locations/branch/appleton,Location,3,2,50%,922,1411,-35%,5,3,67%,0,0,N/A
https://www.bankfivenine.com/locations/branch/howard-ave/,/locations/branch/howard-ave,Location,5,0,N/A,205,283,-28%,5,0,N/A,0,0,N/A
https://www.bankfivenine.com/locations/branch/bluemound-rd/,/locations/branch/bluemound-rd,Location,3,1,200%,837,705,19%,6,2,200%,0,0,N/A
https://www.bankfivenine.com/locations/branch/west-allis-loan-office/,/locations/branch/west-allis-loan-office,Location,1,0,N/A,136,134,1%,3,3,0%,0,0,N/A
https://www.bankfivenine.com/locations/branch/new-richmond-loan-office/,/locations/branch/new-richmond-loan-office,Location,3,3,0%,1161,1009,15%,3,4,-25%,0,0,N/A
https://www.bankfivenine.com/locations/branch/franksville-loan-office/,/locations/branch/franksville-loan-office,Location,0,0,N/A,182,69,164%,0,1,-100%,0,0,N/A
https://www.bankfivenine.com/locations/branch/kenosha/,/locations/branch/kenosha,Location,4,8,-50%,1548,6902,-78%,15,13,15%,0,0,N/A
