URL,,Type,L1M Clicks,P1M  Clicks,Δ Clicks %,L1M Impressions,P1M Impressions,Δ Impr %,L1M New Users,Prev 1M New Users,Δ Users %,L1M Key Events,P1M Key Events,Δ Conv %
https://www.bankfivenine.com/business/cash-management/ach-origination/ach-user-information/,/business/cash-management/ach-origination/ach-user-information,Service,4,3,33%,385,269,43%,4,1,300%,0,0,N/A
https://www.bankfivenine.com/personal/banking/kids-accounts/,/personal/banking/kids-accounts,Service,4,10,-60%,4743,10002,-53%,6,14,-57%,2,0,N/A
https://www.bankfivenine.com/business/banking/business-checking/,/business/banking/business-checking,Service,4,12,-67%,564,497,13%,8,10,-20%,0,0,N/A
https://www.bankfivenine.com/business/lending/commercial-lenders/,/business/lending/commercial-lenders,Service,14,4,250%,347,326,6%,14,4,250%,2,1,100%
https://www.bankfivenine.com/personal/banking/bankwork-employee-banking-benefits/,/personal/banking/bankwork-employee-banking-benefits,Service,20,7,186%,1279,1172,9%,42,16,163%,5,0,N/A
https://www.bankfivenine.com/business/manage-account/,/business/manage-account,Service,0,10,-100%,593,704,-16%,14,14,0%,0,0,N/A
https://www.bankfivenine.com/personal/banking/prepaid-cards/,/personal/banking/prepaid-cards,Service,9,18,-50%,235,370,-36%,11,21,-48%,0,1,-100%
https://www.bankfivenine.com/business/banking/business-online-banking/,/business/banking/business-online-banking,Service,21,62,-66%,1287,1748,-26%,6,11,-45%,0,0,N/A
https://www.bankfivenine.com/personal/manage-personal-account/,/personal/manage-personal-account,Service,47,24,96%,3572,3880,-8%,39,25,56%,5,2,150%
https://www.bankfivenine.com/personal/banking/mobile-banking/,/personal/banking/mobile-banking,Service,31,20,55%,1479,1538,-4%,22,14,57%,12,7,71%
https://www.bankfivenine.com/personal/lending/mortgage/,/personal/lending/mortgage,Service,89,89,0%,1043,1653,-37%,50,53,-6%,2,1,100%
https://www.bankfivenine.com/personal/lending/mortgage/mortgage-lenders/,/personal/lending/mortgage/mortgage-lenders,Service,19,12,58%,691,877,-21%,42,18,133%,1,1,0%
https://www.bankfivenine.com/personal/banking/online-banking/,/personal/banking/online-banking,Service,573,647,-11%,18367,25051,-27%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/business/banking/business-checking/ordering-replacement-business-checks/,/business/banking/business-checking/ordering-replacement-business-checks,Service,0,0,N/A,23,15,53%,0,1,-100%,0,0,N/A
https://www.bankfivenine.com/personal/banking/personal-bankers/,/personal/banking/personal-bankers,Service,5,14,-64%,421,497,-15%,15,14,7%,1,0,N/A
https://www.bankfivenine.com/business/cash-management/ach-origination/ach-user-information/ach-return-reference-guide/,/business/cash-management/ach-origination/ach-user-information/ach-return-reference-guide,Service,1,5,-80%,3167,2890,10%,5,5,0%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/ach-origination/ach-user-information/glossary-of-ach-terms/,/business/cash-management/ach-origination/ach-user-information/glossary-of-ach-terms,Service,45,28,61%,27528,27239,1%,51,35,46%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/ach-origination/ach-user-information/noc-reference-guide/,/business/cash-management/ach-origination/ach-user-information/noc-reference-guide,Service,17,8,113%,4192,3170,32%,21,15,40%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/banking-demo-videos/,/business/cash-management/banking-demo-videos,Service,0,0,N/A,2,2,0%,2,1,100%,0,0,N/A
