URL,,Type,L1M Clicks,P1M  Clicks,Δ Clicks %,L1M Impressions,P1M Impressions,Δ Impr %,L1M New Users,Prev 1M New Users,Δ Users %,L1M Key Events,P1M Key Events,Δ Conv %
https://www.bankfivenine.com/resources/learn-something-new/demo-videos/,/resources/learn-something-new/demo-videos,Supporting,0,0,N/A,111,103,8%,6,3,100%,0,0,N/A
https://www.bankfivenine.com/about-us/,/about-us,Supporting,20,17,18%,5632,10162,-45%,79,67,18%,1,1,0%
https://www.bankfivenine.com/about-us/careers/,/about-us/careers,Supporting,118,85,39%,2231,2003,11%,269,212,27%,0,0,N/A
https://www.bankfivenine.com/about-us/charitable/,/about-us/charitable,Supporting,29,15,93%,444,268,66%,40,29,38%,0,0,N/A
https://www.bankfivenine.com/about-us/community/,/about-us/community,Supporting,1,1,0%,74,182,-59%,18,15,20%,0,0,N/A
https://www.bankfivenine.com/about-us/letter-from-the-president/,/about-us/letter-from-the-president,Supporting,23,14,64%,812,547,48%,37,23,61%,0,0,N/A
https://www.bankfivenine.com/resources/learn-something-new/,/resources/learn-something-new,Supporting,0,0,N/A,470,433,9%,20,23,-13%,0,0,N/A
https://www.bankfivenine.com/about-us/contact-bank-five-nine/,/about-us/contact-bank-five-nine,Supporting,185,135,37%,14557,23842,-39%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/about-us/history/,/about-us/history,Supporting,24,25,-4%,5585,5684,-2%,23,32,-28%,1,0,N/A
https://www.bankfivenine.com/banking-calculators/,/banking-calculators,Supporting,2,1,100%,112,144,-22%,17,12,42%,0,0,N/A
https://www.bankfivenine.com/open-new-account/,/open-new-account,Supporting,5,10,-50%,1245,3726,-67%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
