URL,,Type,L3M Clicks,L3M LY Clicks,YoY Δ %,L3M Impressions,L3M LY Impressions,YoY Δ %,L3M New Users,L3M_LY New Users,Δ Users %,L3M Key Events,L3M_LY Key Events,Δ Conv %
https://www.bankfivenine.com/locations/branch/grafton/,/locations/branch/grafton,Location,66,121,-45%,3926,6448,-39%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/hartland/,/locations/branch/hartland,Location,75,188,-60%,5665,6782,-16%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/hartford/,/locations/branch/hartford,Location,74,183,-60%,7098,12446,-43%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/milwaukee/,/locations/branch/milwaukee,Location,62,74,-16%,15016,16355,-8%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/menomonee-falls/,/locations/branch/menomonee-falls,Location,44,86,-49%,3432,11095,-69%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/brookfield-capitol-dr/,/locations/branch/brookfield-capitol-dr,Location,59,10,490%,7328,1774,313%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/glendale/,/locations/branch/glendale,Location,22,50,-56%,3245,13319,-76%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/brookfield-north-ave/,/locations/branch/brookfield-north-ave,Location,45,5,800%,4312,522,726%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/germantown/,/locations/branch/germantown,Location,59,159,-63%,5594,8435,-34%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/mequon/,/locations/branch/mequon,Location,32,56,-43%,3046,12406,-75%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/menomonee-falls-loan-office/,/locations/branch/menomonee-falls-loan-office,Location,6,5,20%,1810,1567,16%,7,3,133%,0,0,N/A
https://www.bankfivenine.com/locations/branch/burlington/,/locations/branch/burlington,Location,7,0,N/A,1366,585,134%,10,1,900%,1,0,N/A
https://www.bankfivenine.com/locations/branch/rothschild/,/locations/branch/rothschild,Location,17,40,-58%,2865,2802,2%,22,33,-33%,2,1,100%
https://www.bankfivenine.com/locations/branch/oconomowoc/,/locations/branch/oconomowoc,Location,679,825,-18%,57334,41753,37%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/west-bend/,/locations/branch/west-bend,Location,154,369,-58%,8497,13394,-37%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/locations/branch/appleton/,/locations/branch/appleton,Location,7,9,-22%,3366,4186,-20%,13,8,63%,0,0,N/A
https://www.bankfivenine.com/locations/branch/howard-ave/,/locations/branch/howard-ave,Location,11,9,22%,702,2226,-68%,9,8,13%,0,0,N/A
https://www.bankfivenine.com/locations/branch/bluemound-rd/,/locations/branch/bluemound-rd,Location,4,4,0%,2817,2782,1%,9,3,200%,0,0,N/A
https://www.bankfivenine.com/locations/branch/west-allis-loan-office/,/locations/branch/west-allis-loan-office,Location,2,2,0%,415,795,-48%,8,1,700%,0,0,N/A
https://www.bankfivenine.com/locations/branch/new-richmond-loan-office/,/locations/branch/new-richmond-loan-office,Location,9,6,50%,2832,1930,47%,11,7,57%,0,0,N/A
https://www.bankfivenine.com/locations/branch/franksville-loan-office/,/locations/branch/franksville-loan-office,Location,3,0,N/A,286,0,N/A,4,0,N/A,0,0,N/A
https://www.bankfivenine.com/locations/branch/kenosha/,/locations/branch/kenosha,Location,17,30,-43%,16114,8269,95%,36,36,0%,0,1,-100%
