URL,,Type,L3M Clicks,L3M LY Clicks,YoY Δ %,L3M Impressions,L3M LY Impressions,YoY Δ %,L3M New Users,L3M_LY New Users,Δ Users %,L3M Key Events,L3M_LY Key Events,Δ Conv %
https://www.bankfivenine.com/business/cash-management/ach-origination/ach-user-information/,/business/cash-management/ach-origination/ach-user-information,Service,7,4,75%,842,192,339%,6,6,0%,0,0,N/A
https://www.bankfivenine.com/personal/banking/kids-accounts/,/personal/banking/kids-accounts,Service,20,17,18%,19549,20933,-7%,28,52,-46%,2,0,N/A
https://www.bankfivenine.com/business/banking/business-checking/,/business/banking/business-checking,Service,22,13,69%,1510,2616,-42%,28,35,-20%,1,0,N/A
https://www.bankfivenine.com/business/lending/commercial-lenders/,/business/lending/commercial-lenders,Service,32,16,100%,1139,988,15%,31,29,7%,8,4,100%
https://www.bankfivenine.com/personal/banking/bankwork-employee-banking-benefits/,/personal/banking/bankwork-employee-banking-benefits,Service,37,32,16%,3333,5710,-42%,78,64,22%,8,10,-20%
https://www.bankfivenine.com/business/manage-account/,/business/manage-account,Service,13,5,160%,1941,1375,41%,45,20,125%,0,0,N/A
https://www.bankfivenine.com/personal/banking/prepaid-cards/,/personal/banking/prepaid-cards,Service,31,44,-30%,873,14314,-94%,36,35,3%,1,0,N/A
https://www.bankfivenine.com/business/banking/business-online-banking/,/business/banking/business-online-banking,Service,113,26,335%,3897,3996,-2%,23,8,188%,1,0,N/A
https://www.bankfivenine.com/personal/manage-personal-account/,/personal/manage-personal-account,Service,84,126,-33%,12108,13043,-7%,91,125,-27%,13,0,N/A
https://www.bankfivenine.com/personal/banking/mobile-banking/,/personal/banking/mobile-banking,Service,69,84,-18%,4187,6545,-36%,48,38,26%,26,2,1200%
https://www.bankfivenine.com/personal/lending/mortgage/,/personal/lending/mortgage,Service,247,164,51%,4270,2688,59%,175,104,68%,5,1,400%
