URL,,Type,L3M Clicks,L3M LY Clicks,YoY Δ %,L3M Impressions,L3M LY Impressions,YoY Δ %,L3M New Users,L3M_LY New Users,Δ Users %,L3M Key Events,L3M_LY Key Events,Δ Conv %
https://www.bankfivenine.com/resources/learn-something-new/demo-videos/,/resources/learn-something-new/demo-videos,Supporting,0,0,N/A,281,0,N/A,12,0,N/A,0,0,N/A
https://www.bankfivenine.com/about-us/,/about-us,Supporting,59,6,883%,23042,10044,129%,245,103,138%,10,0,N/A
https://www.bankfivenine.com/about-us/careers/,/about-us/careers,Supporting,288,77,274%,6607,1735,281%,706,125,465%,0,0,N/A
https://www.bankfivenine.com/about-us/charitable/,/about-us/charitable,Supporting,66,32,106%,941,598,57%,95,54,76%,0,1,-100%
https://www.bankfivenine.com/about-us/community/,/about-us/community,Supporting,2,2,0%,508,71,615%,42,8,425%,0,0,N/A
https://www.bankfivenine.com/about-us/letter-from-the-president/,/about-us/letter-from-the-president,Supporting,51,28,82%,1871,1225,53%,76,42,81%,0,0,N/A
https://www.bankfivenine.com/resources/learn-something-new/,/resources/learn-something-new,Supporting,0,0,N/A,1268,0,N/A,74,0,N/A,0,0,N/A
https://www.bankfivenine.com/about-us/contact-bank-five-nine/,/about-us/contact-bank-five-nine,Supporting,467,582,-20%,62502,66799,-6%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/about-us/history/,/about-us/history,Supporting,75,108,-31%,15252,7292,109%,92,91,1%,1,0,N/A
https://www.bankfivenine.com/banking-calculators/,/banking-calculators,Supporting,5,3,67%,368,64,475%,75,31,142%,0,0,N/A
https://www.bankfivenine.com/open-new-account/,/open-new-account,Supporting,24,52,-54%,9534,40564,-76%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
