URL,Normalized URL,Mapping Raw URLs,Mapping Row Count (Raw),Mapping Row Count (Dedup),Top Keyword 1,Top Keyword 1 Source Row,Top Keyword 2,Top Keyword 2 Source Row,Top Keyword 3,Top Keyword 3 Source Row,Exact Count,Partial Count,Optimize Count,None Action Count,Topic Cluster,Metadata Raw URL,Metadata Title Raw,Metadata Description Raw,Metadata H1 Raw,L3M Raw URL,L3M Raw Δ Clicks % (col5),L3M Raw Δ Impr % (col8),L3M Raw Δ Engaged Sessions % (col11),L3M Raw Δ Users % (col14),L3M Raw Δ Conv % (col17),L3M Parsed Δ Clicks %,L3M Parsed Δ Impr %,L3M Parsed Δ Engaged Sessions %,L3M Parsed Δ Users %,L3M Parsed Δ Conv %,YoY Raw URL,YoY Raw Δ Clicks % (col5),YoY Raw Δ Impr % (col8),YoY Raw Δ Engaged Sessions % (col11),YoY Raw Δ Users % (col14),YoY Raw Δ Conv % (col17),YoY Parsed Δ Clicks %,YoY Parsed Δ Impr %,YoY Parsed Δ Engaged Sessions %,YoY Parsed Δ Users %,YoY Parsed Δ Conv %,Metrics Available (out of 10),Data Confidence,Parse Warnings
https://omnipress.com/about-us/,https://omnipress.com/about-us,https://omnipress.com/about-us/,1,1,about omnipress,311,,,,,1,0,1,0,Brand,https://omnipress.com/about-us/,About Omnipress - Omnipress,"Learn about Omnipress—providing print and technology solutions for conferences, training programs, and publications with exceptional service and expertise.",About Omnipress,https://omnipress.com/about-us/,-31%,-8%,#N/A,#N/A,#N/A,-31.00,-8.00,,,,https://omnipress.com/about-us/,-31%,-16%,#N/A,#N/A,#N/A,-31.00,-16.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/abstract-and-application-management/,https://omnipress.com/abstract-and-application-management,https://omnipress.com/abstract-and-application-management/,19,19,abstract management,3,application management system,4,abstract management software,5,1,18,19,0,Abstract & Application Management,https://omnipress.com/abstract-and-application-management/,Abstract and Application Management Software | Omnipress,"Abstract and application management software that supports submission collection, review workflows, scoring, and decision-making for conferences and programs.",Abstract and Application Management Software,https://omnipress.com/abstract-and-application-management/,N/A,139%,200%,76.92%,N/A,,139.00,200.00,76.92,,https://omnipress.com/abstract-and-application-management/,N/A,278%,-37%,-35%,N/A,,278.00,-37.00,-35.00,,6,Medium,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/,https://omnipress.com/application-management,https://omnipress.com/application-management/,8,8,management application,27,grant application management,36,online application management system,37,2,6,8,0,Application Management,https://omnipress.com/application-management/,CATALYST® Application Management Software | Omnipress,"Application management software for grants, scholarships, and awards programs. Streamline submissions, reviews, and decisions with a flexible platform.",CATALYST® Application Management Software,https://omnipress.com/application-management/,60%,-25%,#N/A,#N/A,#N/A,60.00,-25.00,,,,https://omnipress.com/application-management/,60%,17%,#N/A,#N/A,#N/A,60.00,17.00,,,,4,Low,Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/awards-management/,https://omnipress.com/application-management/awards-management,https://omnipress.com/application-management/awards-management/,10,10,award management software,25,submission management software,28,awards management system,29,2,8,10,0,Application Management,https://omnipress.com/application-management/awards-management/,CATALYST® Awards Management Software | Omnipress,"CATALYST® awards management software simplifies nominations, judging, and award selection. Run fair, efficient programs with Omnipress.",Awards Management Software,https://omnipress.com/application-management/awards-management/,167%,30%,20%,14.29%,N/A,167.00,30.00,20.00,14.29,,https://omnipress.com/application-management/awards-management/,167%,36%,-25%,0%,N/A,167.00,36.00,-25.00,0.00,,8,High,Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/awards-management/request-quote/,https://omnipress.com/application-management/awards-management/request-quote,https://omnipress.com/application-management/awards-management/request-quote/,2,1,awards management,53,,,,,1,0,1,0,Application Management,https://omnipress.com/application-management/awards-management/request-quote/,Request a Quote | CATALYST® Awards Management,Get a customized quote for CATALYST® awards management software. Share your program details and our team will provide pricing tailored to your needs.,,https://omnipress.com/application-management/awards-management/request-quote/,N/A,143%,N/A,100.00%,N/A,,143.00,,100.00,,https://omnipress.com/application-management/awards-management/request-quote/,N/A,N/A,N/A,N/A,N/A,,,,,,2,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='N/A' | Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='N/A' | Unparsed metric: YoY Users raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/awards-management/schedule-a-demo/,https://omnipress.com/application-management/awards-management/schedule-a-demo,https://omnipress.com/application-management/awards-management/schedule-a-demo/,2,1,awards management,54,,,,,1,0,1,0,Application Management,https://omnipress.com/application-management/awards-management/schedule-a-demo/,Schedule a Demo | Awards Management Software,"See CATALYST® in action. Schedule a demo of our awards management software to explore features, ask questions, and discover how it can simplify judging.",,https://omnipress.com/application-management/awards-management/schedule-a-demo/,N/A,60%,#N/A,#N/A,#N/A,,60.00,,,,https://omnipress.com/application-management/awards-management/schedule-a-demo/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,1,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/grants-management/,https://omnipress.com/application-management/grants-management,https://omnipress.com/application-management/grants-management/,2,2,grants management dashboard,30,grants management system software,52,,,0,2,2,0,Application Management,https://omnipress.com/application-management/grants-management/,CATALYST® Grants Management Software | Omnipress,"CATALYST® grants management software simplifies grant applications, reviews, and funding decisions. Run efficient grant programs with Omnipress.",Grants Management Software,https://omnipress.com/application-management/grants-management/,0%,-38%,50%,40.00%,N/A,0.00,-38.00,50.00,40.00,,https://omnipress.com/application-management/grants-management/,0%,-72%,0%,11%,N/A,0.00,-72.00,0.00,11.00,,8,High,Unparsed metric: L3M Conv raw='N/A' | Unparsed metric: YoY Conv raw='N/A'
https://omnipress.com/application-management/grants-management/request-quote/,https://omnipress.com/application-management/grants-management/request-quote,https://omnipress.com/application-management/grants-management/request-quote/,2,1,grants management system software,55,,,,,0,1,1,0,Application Management,https://omnipress.com/application-management/grants-management/request-quote/,Request a Quote | Grants Management Software,Get a customized quote for CATALYST® grants management software. Share your program details and our team will provide pricing tailored to your needs.,,https://omnipress.com/application-management/grants-management/request-quote/,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,https://omnipress.com/application-management/grants-management/request-quote/,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,0,Low,Unparsed metric: L3M Clicks raw='#N/A' | Unparsed metric: L3M Impr raw='#N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='#N/A' | Unparsed metric: YoY Impr raw='#N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/grants-management/schedule-demo/,https://omnipress.com/application-management/grants-management/schedule-demo,https://omnipress.com/application-management/grants-management/schedule-demo/,2,1,grants management system software,56,,,,,0,1,1,0,Application Management,https://omnipress.com/application-management/grants-management/schedule-demo/,Schedule a Demo | Grants Management Software,"See CATALYST® in action. Schedule a demo of our grants management software to explore features, ask questions, and discover how it can simplify reviews.",,https://omnipress.com/application-management/grants-management/schedule-demo/,N/A,600%,#N/A,#N/A,#N/A,,600.00,,,,https://omnipress.com/application-management/grants-management/schedule-demo/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,1,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
https://omnipress.com/application-management/request-quote/,https://omnipress.com/application-management/request-quote,https://omnipress.com/application-management/request-quote/,2,1,management application,57,,,,,0,1,1,0,Application Management,https://omnipress.com/application-management/request-quote/,Request a Quote | CATALYST® Application Management,Get a customized quote for CATALYST® Application Management. Share your program details and our team will provide pricing tailored to your needs.,,https://omnipress.com/application-management/request-quote/,N/A,100%,#N/A,#N/A,#N/A,,100.00,,,,https://omnipress.com/application-management/request-quote/,N/A,N/A,#N/A,#N/A,#N/A,,,,,,1,Low,Unparsed metric: L3M Clicks raw='N/A' | Unparsed metric: L3M Engaged raw='#N/A' | Unparsed metric: L3M Users raw='#N/A' | Unparsed metric: L3M Conv raw='#N/A' | Unparsed metric: YoY Clicks raw='N/A' | Unparsed metric: YoY Impr raw='N/A' | Unparsed metric: YoY Engaged raw='#N/A' | Unparsed metric: YoY Users raw='#N/A' | Unparsed metric: YoY Conv raw='#N/A'
