URL,Row Type,Qualifier,Seed Keyword,Keyword,Source,Demand Score,Semantic Score,Intent Fit,SV Proxy,Category Tuple,Reason
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Primary,,print fulfillment transition,print fulfillment transition,SEMrush,0.5781,0.6667,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Expansion,how to,training fulfillment 5 easy,how to training fulfillment 5 easy,Expansion,0.4984,0.5000,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Expansion,quick,training fulfillment 5 easy,quick training fulfillment 5 easy,Expansion,0.4690,0.4444,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Expansion,tips,training fulfillment 5 easy,tips training fulfillment 5 easy,Expansion,0.4690,0.4444,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Expansion,videos,training fulfillment 5 easy,videos training fulfillment 5 easy,Expansion,0.4689,0.4444,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Expansion,checklist,training fulfillment 5 easy,checklist training fulfillment 5 easy,Expansion,0.4688,0.4444,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Expansion,guide,training fulfillment 5 easy,guide training fulfillment 5 easy,Expansion,0.4688,0.4444,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/fulfillment/5-easy-steps-to-a-successful-print-fulfillment-transition/,Expansion,overview,training fulfillment 5 easy,overview training fulfillment 5 easy,Expansion,0.4687,0.4444,1,0.0000,RESOURCE|Training Solutions|Training Fulfillment|informational,pool1_existing
https://omnipress.com/training/pricing/,Primary,,training product pricing,training product pricing,SEMrush,0.7214,1.0000,1,0.0000,CONVERSION|Training Solutions|General Product/Service|,pool1_existing
https://omnipress.com/training/pricing/,Expansion,pricing,training pricing,training pricing,Expansion,0.7309,1.0000,1,0.0000,CONVERSION|Training Solutions|General Product/Service|,pool1_existing
https://omnipress.com/training/pricing/,Expansion,quote,pricing training product,pricing training product,Expansion,0.7214,1.0000,1,0.0000,CONVERSION|Training Solutions|General Product/Service|,pool1_existing
