,,CATEGORY,"In Top Navigation
Y/N",Keyword Target,Current Meta Title,Length,(NEW) Meta Title,Status,Length,Current Meta Description,Length,(NEW) Meta Description,Status,Length,(CURRENT) H1,(SUGGESTED) H1 ,Status,Body Text ,(SUGGESTED) Presence of keyword target in the first 100 words,Presence of CTA above the fold/Hero Section
,https://www.azfamilylawattorneys.com/,,TRUE,Family Law Firm,Phoenix Family Law Firm | Arizona Family Law Attorneys,54,Family Law Firm | Arizona Family Law Attorneys,Implemented,NA,Are you dealing with family law matters? Our attorneys are here to help you navigate these difficult times. Call our office to speak to a lawyer today.,151,Facing family law issues in Arizona? Our compassionate attorneys in Phoenix & Tempe guide you through divorce & custody. Call today for a consultation!,Implemented,151,Phoenix Family Lawyers Providing Guidance for Your Loved Ones,Arizona Family Lawyers Providing Guidance for Your Loved Ones,Implemented,"Peace of Mind… There is No Substitute SCHEDULE A CASE EVALUATION Phoenix Family Lawyers Providing Guidance for Your Loved Ones You’ve decided to divorce, but don’t know where to start. Or perhaps you’ve had a change in circumstances and want to request a child support modification. Whether you’re dealing with a child custody battle or planning to add to your family through adoption, navigating the family court system in Arizona is complex, and it’s not something you have to — or should — do alone. No matter what aspect of family law you’re currently dealing with, Arizona Family Law Attorneys can help. Call our office to speak to an experienced family law attorney. We offer case evaluations to our clients so we can learn more about your case and you can find out how our firm operates and how we can assist you moving forward. How May We Help You? Our team is equipped to handle all areas of family law, whether you’re trying to figure out what you may be entitled to in a divorce settlement",❌ No,✅ Yes
,https://www.azfamilylawattorneys.com/about/,,TRUE,About Arizona Family Law Attorneys,About Us | Arizona Family Law Attorneys,39,Current Title is good,No need to change,NA,"At Arizona Family Law Attorneys, our family law lawyers in Phoenix & Tempe have many years of collective experience. Call us today for an initial case evaluation!",162,Learn about Arizona Family Law Attorneys. Our experienced Phoenix lawyers are dedicated to your success. Call now for a case evaluation!,Implemented,136,About Our Firm,About Our Family Law Firm,Implemented,"About Our Firm When it comes to delivering legal representation of the highest caliber, we at Arizona Family Law Attorneys are committed and consistent. Serving clients in Tempe and Phoenix, our firm has successfully helped countless families resolve a wide range of family law issues. If you have a family law matter on your hands, we can help you obtain a resolution that reflects your goals and needs. Whether we are handling a contentious divorce or adoption case, we will work diligently to make sure that your rights remain protected during the entire process. Why should you choose to hire us to represent you? Your case would benefit from: Attorneys who are focused only on family law Compassionate legal services Affordable rates and credit card payment options Flexible appointment times Led by a Highly Rated Avvo Lawyer & “Attorney of the Year for the East Valley” We are proud to be led by Attorney Shawnna R. Riggers, who has a 9.4 Superb Avvo Rating and was named “Attorney of the ",✅ Yes,❌ No
,Attorneys,,TRUE,,,,,,,,,,,,,,,,,
,https://www.azfamilylawattorneys.com/shawnna-riggers/,Attorneys,TRUE, Attorney Shawnna Riggers,Shawnna Riggers | Arizona Family Law Attorneys,46,Current Title is good,No need to change,NA,Read the profile of Phoenix and Tempe family law and divorce lawyer Shawnna R. Riggers. Call today for a case consultation!,123,Shawnna Riggers is a top-rated Arizona family law attorney specializing in adoption and divorce. Protect your family's future. Call today for a consultation.,Implemented,157,Meet Shawnna Riggers,Meet Attorney Shawnna Riggers,Implemented,"Meet Shawnna Riggers Shawnna was born and raised in Idaho, where she learned the importance of hard work. She was first exposed to the opportunities and diversity Arizona has to offer while attending Arizona State University, graduating from the Barrett Honors College and earning a B.S. in Marketing. After graduation, she attended Seattle University School of Law. Shawnna honed her own research skills in law school, and she taught them to others while working at the law library and for Westlaw. She interned at Koenig and Associates. Shawnna began her professional legal career in 2006, moving to Montana to help the local business community as an associate at Bjornson Law Offices. As her career developed, she had an opportunity to move to Phoenix in 2007. In 2010, Shawnna founded her own law firm and has limited her practice exclusively to family law. She is passionate about helping families move through the legal process while aiming to minimize the level of distress they experience. Ri",❌ No,❌ No
,https://www.azfamilylawattorneys.com/vernon-harris/,Attorneys,TRUE,Attorney Vernon Harris,Vernon Harris - Arizona Family Law Attorneys,44,Vernon Harris | Arizona Family Law Attorneys,Implemented,44,"Meet Vernon Harris, a former Judicial Officer & award-winning litigator. With 150+ jury trials, he skillfully handles complex family law. Call today.",149,Current Description is good.,No need to change,,Meet Vernon Harris,Meet Attorney Vernon Harris,Implemented,"Meet Vernon Harris Vernon L. Harris graduated from Arizona State University with a Bachelor of Science in Criminal Justice in 1987. Upon graduating from Arizona State University College of Law in 1990, Vernon became a gang prosecutor with the Maricopa County Attorney’s Office. He had one of his trials aired on national television by CBS in a special titled “CBS Reports: Enter the Jury”. Vernon has over 150 jury trials under his belt and countless bench trials. He went on to practice civil law for a number of years as well as serve as a Judicial Officer in Maricopa Court Superior Court, the city of Phoenix Municipal Court and Glendale City Court. Vernon worked for the Arizona Attorney General’s Office for 21 years in the Criminal/Civil Litigation and Advice Section and the Protective Services Section. He has twice been awarded the Litigation Attorney of the Year, as well as the Outstanding Advocate, Team Player Award, and Excellence in Service Award. He held the positions of Senior Liti",❌ No,❌ No
,https://www.azfamilylawattorneys.com/donna-thompson/,Attorneys,TRUE,Attorney Donna Thompson,Donna Thompson | AZ Family Law Attorneys,40,Donna Thompson | Arizona Family Law Attorneys,Implemented,45,"Donna Thompson is an experienced family law attorney at AZ Family Law Attorneys. Specializing in divorce, child custody, and family law, Donna provides expert legal services tailored to your needs in Arizona.",208,Donna Thompson offers expert family law representation in Arizona. Specializing in divorce & child custody. Protect your rights. Schedule a consultation today.,Implemented,159,Meet Donna Thompson,Meet Attorney Donna Thompson,Implemented,"Meet Donna Thompson Donna has devoted the entirety of her 40+ year career to assisting clients in all areas of family law and holds a Certificate of Mediation. In 2015, Donna began attending law school part-time while continuing to work full-time in the family law field, graduating with her Juris Doctorate in May of2018. On July 28, 2025, Donna became an affiliate member of the State Bar of Arizona and is licensed to practice family law consistent with ACJA Section 7-210. Donna is honored to be able to assist clients with their representation in the areas of paternity, annulments, legal separation, divorce, modification proceedings (legal decision-making, parenting time, child support, etc.) in what is often an emotional and difficult time in their lives. Donna’s years of experience coupled with her law degree, make her uniquely qualified to assist clients in every aspect of their family law dispute. Donna is a valuable asset to our team.",❌ No,❌ No
,https://www.azfamilylawattorneys.com/meridith-lord/,Attorneys,TRUE, Attorney Meridith L. Lord,Meridith L. Lord | AZ Family Law Attorneys,42,Meridith L. Lord | Arizona Family Law Attorneys,Implemented,47,"Meridith L. Lord is a skilled family law attorney at AZ Family Law Attorneys, offering expert legal representation in Arizona. Specializing in divorce, child custody, and family law.",182,Meridith L. Lord provides skilled family law representation in Arizona. Trusted guidance for divorce & custody matters. Call now to schedule your consultation.,Implemented,159,Meet Meridith L. Lord,Meet Attorney Meridith L. Lord,Implemented,"Meet Meridith L. Lord Meridith L. Lord has been practicing family law since 2017. Her approach to law is an important part of her professional story. A strong litigator in the courtroom, Meridith is a fierce advocate for her clients and is not one to shy away from litigation when necessary. She attributes her success in the courtroom to her ability to recognize relevant issues, her high attention to detail, and her thorough preparation for court events. Meridith chose family law because she wants to help her clients through extremely difficult times in their lives by providing sound advice and counsel tailored to her clients’ circumstances. She is known for her ability to listen and understand her clients’ situations and priorities. Clients appreciate her candor, high-quality service, responsiveness, and ability to clearly communicate the legal process. She makes a special effort to help clients understand what to expect when navigating the court system, as she believes this helps clie",❌ No,❌ No
,Meet The Team,,TRUE,,,,,,,,,,,,,,,,,
,https://www.azfamilylawattorneys.com/valeria-andrews/,Team,TRUE,Valeria Andrews,Valeria Andrews - Arizona Family Law Attorneys,46,Valeria Andrews | Arizona Family Law Attorneys,Implemented,46,"Meet Valeria Andrews, our expert paralegal. She guides clients through family law by managing cases, drafting documents, and handling discovery. Call us.",153,Current Description is good.,No need to change,,Meet Valeria Andrews,Current H1 is good.,No need to change,"Meet Valeria Andrews Valeria, a proud Phoenix native, embarked on her journey as a paralegal in 2016. She holds a bachelor’s degree in business communications from Arizona State University, where her education laid the foundation for her professional success. Initially, Valeria worked for her family’s business, but it wasn’t long before she discovered her true passion in Family Law. At Arizona Family Law Attorneys, Valeria plays a vital role in managing the day-to-day aspects of cases. Her responsibilities include drafting and preparing legal documents, overseeing calendar management, and handling responses to discovery requests. Valeria’s extensive paralegal expertise, combined with her strong background in customer service, enables her to advocate effectively for clients, guiding them through the often challenging terrain of family law matters. Outside the office, Valeria is an avid traveler who loves exploring new destinations. She also enjoys spending quality time with her husband ",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/jordan-chapman/,Team,TRUE,Jordan Chapman,Jordan Chapman,14,Jordan Chapman | Arizona Family Law Attorneys,Implemented,45,Jordan is our Adoption Paralegal. She was born and raised here in Arizona. For close to five years,98,"Meet Jordan Chapman, a key member of the Arizona Family Law Attorneys team. We are dedicated to helping you. Contact us today for a case evaluation.",Implemented,148,Meet Jordan Chapman,Current H1 is good.,No need to change,"Meet Jordan Chapman Adoption Paralegal Jordan is our Adoption Paralegal. She was born and raised here in Arizona. For close to five years, she has worked at Arizona Family Law Attorneys helping families complete their adoptions. Jordan works hand in hand with families, coordinates with the Court to ensure Adoptions move forward as quickly as possible. When not working, Jordan enjoys weightlifting, reading, and relief printmaking.",✅ Yes,❌ No
