Map ID,IdealURL,Target Seed Keyword
1,/,{brand}
2,.com/{state}/divorce/,divorce in {state}
3,.com/{state}/child-custody/,child custody in {state}
4,.com/{state}/child-support/,child support in {state}
5,.com/{state}/alimony/,alimony in {state}
6,.com/{state}/property-division/,property division in {state}
7,.com/{state}/paternity/,paternity in {state}
8,.com/{state}/guardianship/,guardianship in {state}
9,.com/{state}/adoption/,adoption in {state}
10,.com/{state}/prenup-postnup/,prenuptial agreements {state}
11,.com/{state}/locations/,{brand} office locations {state}
12,.com/{state}/locations/{city 1}/,{city 1} divorce lawyers
13,.com/{state}/locations/{city 2}/,{city 2} divorce lawyers
14,.com/{state}/locations/{city 3}/,{city 3} divorce lawyers
15,.com/{state}/locations/{city 1}/divorce-mediation/,{city 1} divorce mediation
16,.com/{state}/locations/{city 1}/collaborative-divorce/,{city 1} collaborative divorce lawyer
17,.com/{state}/locations/{city 1}/uncontested-divorce/,{city 1} uncontested divorce lawyer
18,.com/{state}/locations/{city 1}/contested-divorce/,{city 1} contested divorce lawyer
19,.com/{state}/locations/{city 1}/child-custody/,{city 1} child custody lawyer
20,.com/{state}/locations/{city 1}/child-support/,{city 1} child support lawyer
21,.com/{state}/locations/{city 1}/alimony/,{city 1} alimony lawyer
22,.com/{state}/locations/{city 1}/property-division/,{city 1} property division lawyer
23,.com/{state}/locations/{city 1}/paternity/,{city 1} paternity lawyer
24,.com/{state}/locations/{city 1}/military-divorce/,{city 1} military divorce lawyer
25,.com/{state}/locations/{city 2}/divorce-mediation/,{city 2} divorce mediation
26,.com/{state}/locations/{city 2}/collaborative-divorce/,{city 2} collaborative divorce lawyer
27,.com/{state}/locations/{city 2}/uncontested-divorce/,{city 2} uncontested divorce lawyer
28,.com/{state}/locations/{city 2}/contested-divorce/,{city 2} contested divorce lawyer
29,.com/{state}/locations/{city 2}/child-custody/,{city 2} child custody lawyer
30,.com/{state}/locations/{city 2}/child-support/,{city 2} child support lawyer
31,.com/{state}/locations/{city 2}/alimony/,{city 2} alimony lawyer
32,.com/{state}/locations/{city 2}/property-division/,{city 2} property division lawyer
33,.com/{state}/locations/{city 2}/paternity/,{city 2} paternity lawyer
34,.com/{state}/locations/{city 2}/military-divorce/,{city 2} military divorce lawyer
35,.com/{state}/locations/{city 3}/divorce-mediation/,{city 3} divorce mediation
36,.com/{state}/locations/{city 3}/collaborative-divorce/,{city 3} collaborative divorce lawyer
37,.com/{state}/locations/{city 3}/uncontested-divorce/,{city 3} uncontested divorce lawyer
38,.com/{state}/locations/{city 3}/contested-divorce/,{city 3} contested divorce lawyer
39,.com/{state}/locations/{city 3}/child-custody/,{city 3} child custody lawyer
40,.com/{state}/locations/{city 3}/child-support/,{city 3} child support lawyer
41,.com/{state}/locations/{city 3}/alimony/,{city 3} alimony lawyer
42,.com/{state}/locations/{city 3}/property-division/,{city 3} property division lawyer
43,.com/{state}/locations/{city 3}/paternity/,{city 3} paternity lawyer
44,.com/{state}/locations/{city 3}/military-divorce/,{city 3} military divorce lawyer
45,.com/{state}/attorneys/,{state} attorneys
46,.com/{state}/attorneys/{attorney 1 first name - attorney 1 last name}/,attorney {attorney first name 1} {attorney last name 1}
47,.com/{state}/attorneys/{attorney 2 first name - attorney 2 last name}/,attorney {attorney first name 2} {attorney last name 2}
48,.com/{state}/attorneys/{attorney 1 first name - attorney 1 last name}/reviews/,attorney {attorney first name 1} {attorney last name 1} reviews
49,.com/{state}/attorneys/{attorney 2 first name - attorney 2 last name}/reviews/,attorney {attorney first name 2} {attorney last name 2} reviews
50,.com/{state}/areas/,{brand} service areas {state}
51,.com/{state}/areas/{county1}/,{county 1} divorce lawyers
52,.com/{state}/areas/{county2}/,{county 2} divorce lawyers
53,.com/{state}/areas/{county3}/,{county 3} divorce lawyers
54,.com/{state}/areas/{county1}/{city1}/,{service area city 1} divorce lawyers
55,.com/{state}/areas/{county1}/{city2}/,{service area city 2} divorce lawyers
