Path 1,Path 2,Path 3,Path 4,Path 5,Path 6,URLs,0,1,2,3,4,5,6,7,8,9,10+
https/,,,,,,888,1,39,128,83,27,6,13,5,1,0,0
,omnipress.com/,,,,,888,1,39,128,83,27,6,13,5,1,0,0
,,wp-content/,,,,581,0,0,0,0,0,0,0,0,0,0,0
,,,uploads/,,,535,0,0,0,0,0,0,0,0,0,0,0
,,,,2025/,,136,0,0,0,0,0,0,0,0,0,0,0
,,,,,12/,37,0,0,0,0,0,0,0,0,0,0,0
,,,,,04/,35,0,0,0,0,0,0,0,0,0,0,0
,,,,,11/,15,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,15,0,0,0,0,0,0,0,0,0,0,0
,,,,,05/,8,0,0,0,0,0,0,0,0,0,0,0
,,,,,07/,7,0,0,0,0,0,0,0,0,0,0,0
,,,,,03/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,01/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,06/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,02/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2019/,,77,0,0,0,0,0,0,0,0,0,0,0
,,,,,12/,31,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,22,0,0,0,0,0,0,0,0,0,0,0
,,,,,11/,10,0,0,0,0,0,0,0,0,0,0,0
,,,,,01/,7,0,0,0,0,0,0,0,0,0,0,0
,,,,,02/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,07/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,03/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2022/,,72,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,19,0,0,0,0,0,0,0,0,0,0,0
,,,,,02/,14,0,0,0,0,0,0,0,0,0,0,0
,,,,,11/,8,0,0,0,0,0,0,0,0,0,0,0
,,,,,06/,7,0,0,0,0,0,0,0,0,0,0,0
,,,,,03/,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,04/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,07/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,12/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,05/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,01/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2023/,,71,0,0,0,0,0,0,0,0,0,0,0
,,,,,02/,30,0,0,0,0,0,0,0,0,0,0,0
,,,,,06/,12,0,0,0,0,0,0,0,0,0,0,0
,,,,,03/,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,05/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,11/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,04/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,07/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2020/,,57,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,14,0,0,0,0,0,0,0,0,0,0,0
,,,,,03/,12,0,0,0,0,0,0,0,0,0,0,0
,,,,,01/,7,0,0,0,0,0,0,0,0,0,0,0
,,,,,12/,7,0,0,0,0,0,0,0,0,0,0,0
,,,,,06/,6,0,0,0,0,0,0,0,0,0,0,0
,,,,,07/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,02/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,11/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2024/,,34,0,0,0,0,0,0,0,0,0,0,0
,,,,,05/,16,0,0,0,0,0,0,0,0,0,0,0
,,,,,06/,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,02/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,11/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,03/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,01/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,04/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2026/,,22,0,0,0,0,0,0,0,0,0,0,0
,,,,,01/,22,0,0,0,0,0,0,0,0,0,0,0
,,,,2021/,,22,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,7,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,11/,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,12/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,03/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,04/,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2018/,,19,0,0,0,0,0,0,0,0,0,0,0
,,,,,06/,9,0,0,0,0,0,0,0,0,0,0,0
,,,,,07/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,01/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,2017/,,13,0,0,0,0,0,0,0,0,0,0,0
,,,,,10/,4,0,0,0,0,0,0,0,0,0,0,0
,,,,,04/,3,0,0,0,0,0,0,0,0,0,0,0
,,,,,09/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,07/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,08/,2,0,0,0,0,0,0,0,0,0,0,0
,,,,siteground-optimizer-assets/,,9,0,0,0,0,0,0,0,0,0,0,0
