Page path and screen class,Character Count,Sessions,Key events,Total users,Bounce rate,New users,Engaged sessions,Views,Active users,Average engagement time per active user,H1,H2-1,H2-2
/state-of-sales/,16,308,0,300,73%,266,82,309,297,3.515151515,2025 State of Sales | Small to Mid-Size Businesses,The State of Sales: Crafting High-Performing Sales Organizations,Sales Strategy
/client-solutions/,18,249,2,206,18%,28,205,269,203,39.22167488,Tailored Sales Solutions for Your Business,Fractional Sales Leader: Your Source for Sales Success,Certified Sales Operating Management SystemTM
/contact-us/,12,153,0,152,25%,50,115,205,152,24.02631579,Contact Us,,
/podcasts/,10,126,0,114,25%,58,94,121,113,21.14159292,Sales Against The Odds,Latest Episode,Episode Library
/free-sales-resources/,22,95,0,75,59%,43,39,135,74,51.66216216,Free Sales Tools and Resources,Not sure where to start? Here are our top picks:,The AI Security Playbook: 6 Essentials Every Sales Organization Needs
/case-studies/,14,92,0,87,52%,58,44,102,86,18.80232558,Sales Success Stories and Case Studies,Featured Case Studies,
/private-equity-solutions/tech-mfg-case-study/,46,89,0,50,43%,44,51,98,49,126.3877551,Investment Profile and Challenges,$5M Turnaround: Inside Sales Xceleration's Sales Growth Strategy,Portfolio Company Challenges
/sales-strategy/,16,83,0,70,18%,7,68,87,70,76.52857143,Sales Strategy Consulting Services,Transform Your Sales with Proven Expertise,Build Your Sales Strategy with Our Proven Framework
/frequently-asked-questions/,28,65,0,57,22%,11,51,64,57,57.68421053,Frequently Asked Questions,General Questions,Engagement & Pricing
/private-equity-solutions/healthcare-managed-services-case-study/,65,62,0,60,34%,27,41,61,60,27.01666667,Company Profile and Challenges,25x Return On Investment In One Year: How Sales Xceleration Increased Value,Platform/Portfolio Company Challenges
/turn-chaos-into-clarity-building-sales-infrastructure-that-scales/,67,59,0,56,39%,26,36,50,56,7.910714286,#N/A,#N/A,#N/A
