Map ID,Content Phase,Content Category,Content Type,Content Role,Page Title Structure,Idealized URL,Target Seed Keyword,Existing Client URL,Gap Status
1,Phase 01,Core Content Pages,Authority Pages,State Hub,Sterling Lawyers Illinois,/illinois/,family law attorneys illinois,https://www.sterlinglawyers.com/illinois/,Existing
2,Phase 01,Core Content Pages,Authority Pages,Attorney Hub,Sterling Lawyers Illinois Attorneys,/illinois/attorneys/,illinois family law attorneys,https://www.sterlinglawyers.com/illinois/attorneys/,Existing
3,Phase 03,Core Content Pages,Practice Area Pages,Divorce Hub,Divorce Lawyer in Illinois,/illinois/divorce/,divorce lawyer illinois,https://www.sterlinglawyers.com/illinois/divorce/,Existing
4,Phase 03,Core Content Pages,Practice Area Pages,Child Custody Hub,Child Custody Lawyer in Illinois,/illinois/child-custody/,child custody lawyer illinois,https://www.sterlinglawyers.com/illinois/child-custody/,Existing
5,Phase 03,Core Content Pages,Practice Area Pages,Child Support Hub,Child Support Lawyer in Illinois,/illinois/child-support/,child support lawyer illinois,https://www.sterlinglawyers.com/illinois/child-support/,Existing
6,Phase 03,Core Content Pages,Practice Area Pages,Spousal Support / Alimony Hub,Spousal Support / Alimony Lawyer in Illinois,/illinois/spousal-support/,alimony lawyer illinois,https://www.sterlinglawyers.com/illinois/spousal-support/,Existing
7,Phase 03,Core Content Pages,Practice Area Pages,Property Division Hub,Property Division Lawyer in Illinois,/illinois/property-division/,property division lawyer illinois,https://www.sterlinglawyers.com/illinois/property-division/,Existing
8,Phase 03,Core Content Pages,Practice Area Pages,Paternity Hub,Paternity Lawyer in Illinois,/illinois/paternity/,paternity lawyer illinois,https://www.sterlinglawyers.com/illinois/paternity/,Existing
9,Phase 03,Core Content Pages,Practice Area Pages,Guardianship Hub,Guardianship Lawyer in Illinois,/illinois/guardianship/,guardianship lawyer illinois,https://www.sterlinglawyers.com/illinois/guardianship/,Existing
10,Phase 03,Core Content Pages,Procedural Pages,Contested Divorce,Contested Divorce in Illinois,/illinois/divorce/contested/,contested divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/contested/,Existing
11,Phase 03,Core Content Pages,Procedural Pages,Uncontested Divorce,Uncontested Divorce in Illinois,/illinois/divorce/uncontested/,uncontested divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/uncontested-divorce/,Existing
12,Phase 03,Core Content Pages,Procedural Pages,Divorce Mediation,Divorce Mediation in Illinois,/illinois/divorce/mediation/,divorce mediation illinois,https://www.sterlinglawyers.com/illinois/divorce/mediation/,Existing
13,Phase 03,Core Content Pages,Procedural Pages,Collaborative Divorce,Collaborative Divorce in Illinois,/illinois/divorce/collaborative/,collaborative divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/collaborative/,Existing
14,Phase 03,Core Content Pages,Procedural Pages,Legal Separation,Legal Separation in Illinois,/illinois/divorce/separation/,legal separation illinois,https://www.sterlinglawyers.com/illinois/divorce/separation/,Existing
15,Phase 03,Core Content Pages,Procedural Pages,Grounds for Divorce,Grounds for Divorce in Illinois,/illinois/divorce/grounds/,grounds for divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/grounds-for-divorce/,Existing
16,Phase 03,Core Content Pages,Procedural Pages,How Long Divorce Takes,How Long Does Divorce Take in Illinois,/illinois/divorce/how-long/,how long does divorce take illinois,https://www.sterlinglawyers.com/illinois/divorce/how-long-divorce-illinois/,Existing
17,Phase 03,Core Content Pages,Procedural Pages,File for Divorce,How to File for Divorce in Illinois,/illinois/divorce/file/,file for divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/file-for-divorce/,Existing
18,Phase 03,Core Content Pages,Procedural Pages,Divorce Cost,Cost of Divorce in Illinois,/illinois/divorce/cost/,divorce cost illinois,https://www.sterlinglawyers.com/illinois/divorce/cost/,Existing
19,Phase 03,Core Content Pages,Procedural Pages,DIY Divorce,DIY Divorce in Illinois,/illinois/divorce/diy/,diy divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/diy/,Existing
20,Phase 03,Core Content Pages,Procedural Pages,Divorce Forms,Divorce Forms in Illinois,/illinois/divorce/forms/,divorce forms illinois,https://www.sterlinglawyers.com/illinois/divorce/forms/,Existing
21,Phase 03,Core Content Pages,Procedural Pages,Annulment,Annulment in Illinois,/illinois/divorce/annulment/,annulment illinois,https://www.sterlinglawyers.com/illinois/divorce/annulment/,Existing
22,Phase 03,Core Content Pages,Procedural Pages,Temporary Orders,Temporary Orders in Illinois Divorce,/illinois/divorce/temporary-order/,temporary divorce order illinois,https://www.sterlinglawyers.com/illinois/divorce/temporary-order/,Existing
23,Phase 03,Core Content Pages,Procedural Pages,Order of Protection,Order of Protection in Illinois Divorce,/illinois/divorce/order-of-protection/,order of protection divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/order-of-protection/,Existing
24,Phase 03,Core Content Pages,Procedural Pages,Divorce Litigation,Divorce Litigation in Illinois,/illinois/divorce/litigation/,divorce litigation illinois,https://www.sterlinglawyers.com/illinois/divorce/litigation/,Existing
25,Phase 03,Core Content Pages,Procedural Pages,Evicting Spouse,Evicting Spouse During Divorce in Illinois,/illinois/divorce/evicting-spouse/,evicting spouse divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/evicting-spouse/,Existing
26,Phase 03,Core Content Pages,Procedural Pages,Abandonment,Abandonment in Illinois Divorce,/illinois/divorce/abandonment/,abandonment divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/abandonment/,Existing
27,Phase 03,Core Content Pages,Procedural Pages,Adultery Laws,Adultery Laws in Illinois Divorce,/illinois/divorce/adultery/,adultery divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/adultery-laws/,Existing
28,Phase 03,Core Content Pages,Procedural Pages,Common Law Marriage,Common Law Marriage in Illinois,/illinois/divorce/common-law-marriage/,common law marriage illinois,https://www.sterlinglawyers.com/illinois/divorce/common-law-marriage/,Existing
29,Phase 03,Core Content Pages,Procedural Pages,Documenting Agreements,Documenting Divorce Agreements in Illinois,/illinois/divorce/documenting-agreements/,divorce agreement documentation illinois,https://www.sterlinglawyers.com/illinois/divorce/documenting-agreements/,Existing
30,Phase 03,Core Content Pages,Procedural Pages,Divorce Financing,Financing Divorce in Illinois,/illinois/divorce/financing/,divorce financing illinois,https://www.sterlinglawyers.com/illinois/divorce/financing/,Existing
31,Phase 03,Core Content Pages,Procedural Pages,How to Get Divorced,How to Get Divorced in Illinois,/illinois/divorce/how/,how to get divorced illinois,https://www.sterlinglawyers.com/illinois/divorce/how/,Existing
32,Phase 03,Core Content Pages,Procedural Pages,Divorce Waiting Period,Divorce Waiting Period in Illinois,/illinois/divorce/waiting-period/,divorce waiting period illinois,https://www.sterlinglawyers.com/illinois/divorce/waiting-period/,Existing
33,Phase 03,Core Content Pages,Procedural Pages,Marriage License,Marriage License Issues in Illinois Divorce,/illinois/divorce/marriage-license/,marriage license divorce illinois,https://www.sterlinglawyers.com/illinois/divorce/marriage-license/,Existing
