"Address","Status Code","Title 1","Indexability","Indexability Status","GA4 Sessions","GA4 Views","GA4 Engaged sessions","GA4 Engagement rate","GA4 Key events","GA4 Event count","GA4 Total revenue","GA4 New users"
"https://sbrownlawyer.com/","200","Scott M. Brown & Associates | Family, Criminal & Injury Law Firm in Texas","Indexable","","1668","3979","1093","0.660","225.000","28348","0.000","1231"
"https://sbrownlawyer.com/2024/04/24/texas-alimony-am-i-entitled/","200","Am I Entitled to Spousal Support? | Pearland, TX","Indexable","","219","240","119","0.540","2.000","2866","0.000","197"
"https://sbrownlawyer.com/contact/","200","Contact Scott M. Brown | Angleton, Pearland and League City","Indexable","","209","274","126","0.600","5.000","2252","0.000","168"
"https://sbrownlawyer.com/contact","301","","Non-Indexable","Redirected","209","274","126","0.600","5.000","2252","0.000","168"
"https://sbrownlawyer.com/2024/05/28/impact-of-a-criminal-record-on-child-custody-cases/","200","Criminal Record on Child Custody Cases | Pearland, TX","Indexable","","169","174","102","0.600","0.000","1991","0.000","157"
"https://sbrownlawyer.com/attorneys/","200","Texas Family Law & Divorce Lawyers | Scott M. Brown & Associates","Indexable","","165","327","106","0.640","11.000","2715","0.000","85"
"https://sbrownlawyer.com/attorneys","301","","Non-Indexable","Redirected","165","327","106","0.640","11.000","2715","0.000","85"
"https://sbrownlawyer.com/texas/locations/angleton/","200","Angleton Divorce & Family Lawyers | Scott M. Brown & Associates","Indexable","","159","380","128","0.810","10.000","2658","0.000","133"
"https://sbrownlawyer.com/texas/locations/pearland/","200","Pearland Divorce & Family Lawyers | Scott M. Brown & Associates","Indexable","","119","283","78","0.660","9.000","2247","0.000","92"
"https://sbrownlawyer.com/peggy-bittick/","200","Divorce & Family Law Attorney Peggy Bittick | Scott M. Brown & Associates","Indexable","","109","166","62","0.570","7.000","1547","0.000","91"
"https://sbrownlawyer.com/2020/10/29/how-to-tell-if-youre-too-drunk-to-drive-and-how-to-prevent-yourself-from-becoming-a-drunk-driver/","200","How to Tell If You're Too Drunk to Drive and How to Prevent | Scott M. Brown & Associates","Indexable","","108","113","57","0.530","3.000","1469","0.000","97"
"https://sbrownlawyer.com/neck-injury/","200","Texas Neck Injury Lawyer | Scott M. Brown & Associates","Indexable","","96","140","57","0.590","1.000","1075","0.000","96"
"https://sbrownlawyer.com/scott-m-brown/","200","Divorce & Family Law Attorney Scott M. Brown | Scott M. Brown & Associates","Indexable","","91","141","49","0.540","0.000","1111","0.000","77"
"https://sbrownlawyer.com/2018/04/06/can-you-adopt-a-child-in-texas-without-the-biological-fathers-consent/","200","Can You Adopt a Child in Texas without The Biological Father’s | Scott M. Brown & Associates","Indexable","","79","84","36","0.460","0.000","1148","0.000","65"
"https://sbrownlawyer.com/texas/locations/league-city/","200","League City Divorce & Family Lawyers | Scott M. Brown & Associates","Indexable","","75","121","51","0.680","7.000","1097","0.000","63"
"https://sbrownlawyer.com/2024/03/20/texas-child-support-2024/","200","Texas Child Support 2024 | Houston, TX","Indexable","","74","77","29","0.390","0.000","640","0.000","68"
"https://sbrownlawyer.com/criminal-defense-attorney-in-texas/","200","Criminal Defense Attorney in Texas | Scott M. Brown & Associates","Non-Indexable","noindex","71","421","49","0.690","65.000","4086","0.000","40"
"https://sbrownlawyer.com/paula-roark-cundiff/","200","Divorce & Family Law Attorney Paula Roark Cundiff | Scott M. Brown & Associates","Indexable","","71","111","44","0.620","1.000","1033","0.000","52"
"https://sbrownlawyer.com/2021/04/07/reasons-grandparents-can-file-for-custody-of-grandchild-in-texas/","200","Reasons Grandparents Can File For Custody of Grandchild in Texas | Scott M. Brown & Associates","Indexable","","68","71","21","0.310","1.000","455","0.000","67"
"https://sbrownlawyer.com/lourel-jones-iii/","200","Divorce & Family Law Attorney Lourel Jones III | Scott M. Brown & Associates","Indexable","","49","85","36","0.730","4.000","730","0.000","37"
"https://sbrownlawyer.com/james-j-hanley/","200","Criminal Defense Attorney James J. Hanley | Scott M. Brown & Associates","Indexable","","47","87","31","0.660","4.000","674","0.000","33"
"https://sbrownlawyer.com/divorce/","200","Divorce in Texas | Scott M. Brown & Associates","Indexable","","46","128","34","0.740","1.000","1020","0.000","29"
"https://sbrownlawyer.com/divorce","301","","Non-Indexable","Redirected","46","128","34","0.740","1.000","1020","0.000","29"
"https://sbrownlawyer.com/league-city-family-law-attorney/","301","","Non-Indexable","Redirected","42","82","34","0.810","2.000","612","0.000","35"
"https://sbrownlawyer.com/2020/01/05/texas-passes-new-law-for-assault-on-a-pregnant-woman/","200","TX Passes New Law for Assault on Women | Scott M. Brown & Associates","Indexable","","41","43","30","0.730","1.000","648","0.000","37"
"https://sbrownlawyer.com/blaire-evans/","200","Divorce & Family Law Attorney Blaire Evans | Scott M. Brown & Associates","Indexable","","38","56","27","0.710","0.000","546","0.000","32"
"https://sbrownlawyer.com/privacy-policy","301","","Non-Indexable","Redirected","37","37","9","0.240","0.000","197","0.000","37"
"https://sbrownlawyer.com/privacy-policy/","200","Privacy Policy | Scott M. Brown, P.C. | Pearland, Texas","Indexable","","37","37","9","0.240","0.000","197","0.000","37"
"https://sbrownlawyer.com/Scott-M-Brown/","200","Divorce & Family Law Attorney Scott M. Brown | Scott M. Brown & Associates","Non-Indexable","Canonicalised","35","83","28","0.800","0.000","534","0.000","28"
"https://sbrownlawyer.com/Scott-M-Brown","301","","Non-Indexable","Redirected","35","83","28","0.800","0.000","534","0.000","28"
"https://sbrownlawyer.com/2021/03/30/what-can-be-done-when-the-other-parent-consistently-violates-the-child-custody-agreement/","200","What Can Be Done When the Other Parent Consistently Violates the Child | Scott M. Brown & Associates","Indexable","","34","36","24","0.710","1.000","505","0.000","31"
"https://sbrownlawyer.com/2013/11/13/henderson-county-police-round-up-child-support-violators/","200","Henderson County police round up child support violators | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","34","34","5","0.150","0.000","232","0.000","34"
"https://sbrownlawyer.com/2018/07/15/what-to-do-when-your-ex-disregards-the-settlement-agreement/","200","What to Do When Your Ex Disregards the Settlement Agreement | Scott M. Brown & Associates","Indexable","","33","34","22","0.670","1.000","400","0.000","32"
"https://sbrownlawyer.com/brain-injury/","200","Brain Injury Attorney in Texas | Houston, Texas","Indexable","","32","45","19","0.590","1.000","320","0.000","32"
"https://sbrownlawyer.com/firm-overview/","200","Our Story | Scott M. Brown & Associates","Indexable","","31","64","17","0.550","1.000","462","0.000","14"
"https://sbrownlawyer.com/criminal-law/first-offenders/","200","First Time Offender Program in Texas | Criminal Law Attorneys","Indexable","","31","46","16","0.520","0.000","344","0.000","30"
