"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Meta Description 1","H1-1","H1-2","Title 1 Length","Title 1 Pixel Width","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1 Length","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://omnipress.com/","text/html; charset=UTF-8","200","OK","Indexable","","Conference & Training Content Solutions | Omnipress","Omnipress provides end-to-end technology, print, and fulfillment solutions for conferences, training programs, and member publications. Explore our solutions.","Technology and Print Solutions for Content Delivery","","51","474","158","977","","0","51","0","PROUDLY SERVING ORGANIZATIONS LIKE THESE","40","Tips for Conference Planning, Training Materials, and More","58","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://omnipress.com/","","","","","","367545","91678","91678","35.120","","490","96","5.104","34.181","Hard","1.845","0","0","99","501","288","0","100.000","75","41","0","5","5","0","","","","","4108ce9efaa74ff0c31ce4296430aaea","0.562","","","","","en-US","1.1","60","2552.006","7362.726","12090.439","27640.213","235.500","0.000","1345163","4200","178","5432713","132333","6","641640","80","254441","4","2761484","45","1192503","18","0","0","450312","25","3169164","58","","","","","","0","0","0","0","750","178959","3450","1166204","1778.262","Poor","2584.849","Poor","5432714","0","Avoids redirects","Server responds quickly (observed 197 ms)","Applies text compression","1 issue found","4 resources found","4483","856","5201","342728","","921","10417","0","26888","","360","15 resources found","100","","","100","","","","","","https://omnipress.com/","2026-02-05 00:52:07"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/greece.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","4399","4399","4399","1.685","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.259","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/greece.png","2026-02-05 00:52:09"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/russian.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","675","675","675","0.259","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.388","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/russian.png","2026-02-05 00:52:09"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/rumania.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","4071","4071","4071","1.560","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.382","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/rumania.png","2026-02-05 00:52:09"
"https://omnipress.com/conferences/digital-conference-flipbook/","text/html; charset=UTF-8","200","OK","Indexable","","Digital Conference Flipbook | Omnipress","A digital conference flipbook that turns printed event programs into interactive online publications. View flipbook solutions from Omnipress.","Digital Conference Flipbook","Digital Conference Flipbook","39","357","141","859","","0","27","27","Digital Flipbook Pricing","24","Digital Flipbook Frequently Asked Questions","43","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://omnipress.com/conferences/digital-conference-flipbook/","","","","","","383433","96273","96273","36.880","","1391","215","6.470","51.625","Fairly Hard","3.373","1","2","99","593","288","0","100.000","75","39","0","7","6","0","","","","","e8f3303e72159efc196dc67f846bbfbb","1.577","","","","","en-US","1.1","61","2552.005","6841.369","3902.009","28191.729","688.500","0.000","1349395","730","163","5483278","135344","6","670515","62","254441","4","2763063","45","1207556","18","0","0","452359","28","3149038","64","","","","","","0","0","0","0","730","185892","0","1163503","2667.180","Poor","3957.511","Poor","5483279","0","Avoids redirects","Server responds quickly (observed 194 ms)","Applies text compression","","2 resources found","4565","","5499","326893","1 resource found","1042","0","0","26888","","995","15 resources found","100","","","100","","","","","","https://omnipress.com/conferences/digital-conference-flipbook/","2026-02-05 00:52:09"
"https://omnipress.com/customers/","text/html; charset=UTF-8","200","OK","Indexable","","Customer Stories | Omnipress Success with Conferences and Training","Discover how organizations use Omnipress to deliver better conferences, training programs, and publications through real customer success stories.","Customer Stories","Customer Stories","66","624","146","915","","0","16","16","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://omnipress.com/customers/","","","","","","362612","89571","89571","34.313","","373","68","5.485","16.191","Very Hard","1.665","1","1","99","322","288","0","100.000","108","54","0","5","5","0","","","","","a82f4b21af4bb6db65e9bb8a67c50c27","1.575","","","","","en-US","1.1","51","2552.008","7898.135","6454.021","29927.924","589.000","0.000","1368154","1650","162","6416283","130844","6","2007025","68","254441","4","2761388","45","811466","14","0","0","451119","25","3103053","55","","","","","","0","0","0","0","750","199776","900","1168378","2688.287","Poor","3809.125","Poor","6416284","0","Avoids redirects","Server responds quickly (observed 191 ms)","Applies text compression","","2 resources found","4978","","3984","327454","","894","1412258","0","26889","","30","15 resources found","100","","","100","","","","","","https://omnipress.com/customers/","2026-02-05 00:52:09"
"https://omnipress.com/privacy/","text/html; charset=UTF-8","200","OK","Indexable","","Privacy Policy - Omnipress","We take your privacy seriously. Here is our take on the things you should know when we collect your information.","Privacy Policy","","26","236","112","693","","0","14","0","What Information Do We Collect?","31","Registration Information","24","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://omnipress.com/privacy/","","","","","","355112","91070","91070","34.887","","1525","199","7.663","56.485","Fairly Hard","3.771","1","1","98","294","288","0","100.000","61","37","0","5","5","0","","","","","cf02f442517c3ca331ba1dfeef053c72","1.638","","","","","en-US","1.1","77","2552.004","5492.430","3902.007","26492.217","205.000","0.000","1335001","730","157","5010612","131980","6","212649","58","254441","4","2762040","45","1196442","17","0","0","453060","27","3137185","60","","","","","","0","0","0","0","730","190398","0","1144603","1802.641","Poor","2521.793","Poor","5010613","0","Avoids redirects","Server responds quickly (observed 186 ms)","Applies text compression","","2 resources found","3009","","4171","326954","","807","0","0","26890","","1215","15 resources found","100","","","100","","","","","","https://omnipress.com/privacy/","2026-02-05 00:52:10"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/admin/Original_Logo_Icon.svg","image/svg+xml","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.082","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/admin/Original_Logo_Icon.svg","2026-02-05 00:52:11"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/hindi.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","1157","1157","1157","0.443","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.252","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/hindi.png","2026-02-05 00:52:12"
"https://omnipress.com/wp-content/uploads/2019/08/amia_logo_white.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","5675","5675","5675","2.174","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.258","Mon, 09 Sep 2019 19:32:26 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/uploads/2019/08/amia_logo_white.png","2026-02-05 00:52:12"
