Input URL,Effective URL,Mapping Method,Core Hub,Has Content Link to Hub,Content Link Anchor Texts,Link Position Counts (to Hub)
https://www.sterlinglawyers.com/wisconsin/blog/methods-marketing-firm/,https://www.sterlinglawyers.com/wisconsin/blog/methods-marketing-firm/,input,https://www.sterlinglawyers.com/wisconsin/divorce/,False,,
https://www.sterlinglawyers.com/wisconsin/blog/do-the-court-records-from-a-divorce-become-public-record/,https://www.sterlinglawyers.com/wisconsin/divorce/do-the-court-records-from-a-divorce-become-public-record/,gsc_non_blog_slug_match,https://www.sterlinglawyers.com/wisconsin/divorce/,True,divorce,Footer=3; Navigation=1; Content=1
https://www.sterlinglawyers.com/wisconsin/blog/leaving-ex-family-business/,https://www.sterlinglawyers.com/wisconsin/property-division/leaving-ex-family-business/,gsc_non_blog_slug_match,https://www.sterlinglawyers.com/wisconsin/property-division/,True,proper partition of the properties,Footer=2; Navigation=1; Content=1
https://www.sterlinglawyers.com/wisconsin/blog/sex-after-separation/,https://www.sterlinglawyers.com/wisconsin/divorce/sex-after-separation/,gsc_non_blog_slug_match,https://www.sterlinglawyers.com/wisconsin/divorce/,True,divorce,Footer=3; Navigation=1; Content=1
https://www.sterlinglawyers.com/wisconsin/blog/being-your-childs-support-system/,https://www.sterlinglawyers.com/wisconsin/divorce/being-your-childs-support-system/,gsc_non_blog_slug_match,https://www.sterlinglawyers.com/wisconsin/divorce/,False,,
https://www.sterlinglawyers.com/wisconsin/blog/can-prenup-presiding-event-death-exercised-divorce/,https://www.sterlinglawyers.com/wisconsin/blog/can-prenup-presiding-event-death-exercised-divorce/,input,https://www.sterlinglawyers.com/wisconsin/divorce/,False,,
https://www.sterlinglawyers.com/wisconsin/blog/divorce-and-the-cobra-act/,https://www.sterlinglawyers.com/wisconsin/divorce/divorce-and-the-cobra-act/,gsc_non_blog_slug_match,https://www.sterlinglawyers.com/wisconsin/divorce/,False,,
https://www.sterlinglawyers.com/wisconsin/blog/annulments-work-wisconsin/,https://www.sterlinglawyers.com/wisconsin/blog/annulments-work-wisconsin/,input,https://www.sterlinglawyers.com/wisconsin/divorce/,False,,
https://www.sterlinglawyers.com/wisconsin/blog/can-claim-sons-life-insurance-knowing-wanted/,https://www.sterlinglawyers.com/wisconsin/blog/can-claim-sons-life-insurance-knowing-wanted/,input,https://www.sterlinglawyers.com/wisconsin/divorce/,False,,
https://www.sterlinglawyers.com/wisconsin/blog/creating-wisconsin-parenting-plan/,https://www.sterlinglawyers.com/wisconsin/child-custody/parenting-plan/,gsc_parenting_plan,https://www.sterlinglawyers.com/wisconsin/child-custody/,True,child custody and placement,Footer=3; Navigation=1; Content=1
